what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1481011265056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011266394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011274829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011276674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011338422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011365057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011365302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481011367565
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1481011383953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1481011383959
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1481011384117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011386193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011454892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481011469284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012324408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012435822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012436050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012446175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012477360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481012480017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012591758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012591994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012595086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481012610528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481012620360
